model,num_prompts,mean_precision@1,mean_precision@5,mean_precision@10,mean_recall@5,mean_recall@10,mean_mrr,english_precision@5,arabic_precision@5,english_mrr,arabic_mrr
ViT-B-32_openai,15,0.4666666666666667,0.4533333333333333,0.47333333333333333,0.05416666666666666,0.11499999999999999,0.5944444444444446,0.6,0.16,0.675,0.4333333333333333
ViT-L-14_openai,15,0.26666666666666666,0.3866666666666667,0.4,0.0461111111111111,0.10166666666666666,0.4535185185185185,0.54,0.08,0.6144444444444443,0.13166666666666665
xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,15,0.7333333333333333,0.7333333333333335,0.7066666666666667,0.08805555555555555,0.1716666666666667,0.7799999999999999,0.64,0.9199999999999999,0.72,0.9
