model,arabic_num_prompts,arabic_precision@1,arabic_precision@5,arabic_precision@10,arabic_recall@5,arabic_recall@10,arabic_mrr,english_num_prompts,english_precision@1,english_precision@5,english_precision@10,english_recall@5,english_recall@10,english_mrr
ViT-B-32_openai,5,0.4,0.16,0.18,0.0125,0.027499999999999997,0.4333333333333333,10,0.5,0.6,0.62,0.07499999999999998,0.15875,0.675
ViT-L-14_openai,5,0.0,0.08,0.08,0.0075000000000000015,0.0175,0.13166666666666665,10,0.4,0.54,0.56,0.06541666666666665,0.14375,0.6144444444444443
xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,5,0.8,0.9199999999999999,0.8400000000000001,0.10916666666666666,0.195,0.9,10,0.7,0.64,0.64,0.07749999999999999,0.16,0.72
