model,language,num_prompts,mean_precision@1,mean_precision@5,mean_precision@10,mean_recall@5,mean_recall@10,mean_mrr
ViT-B-32_openai,ar,5,0.4,0.16,0.18,0.0125,0.027499999999999997,0.4333333333333333
ViT-B-32_openai,en,10,0.5,0.6,0.62,0.07499999999999998,0.15875,0.675
ViT-L-14_openai,ar,5,0.0,0.08,0.08,0.0075000000000000015,0.0175,0.13166666666666665
ViT-L-14_openai,en,10,0.4,0.54,0.56,0.06541666666666665,0.14375,0.6144444444444443
xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,ar,5,0.8,0.9199999999999999,0.8400000000000001,0.10916666666666666,0.195,0.9
xlm-roberta-base-ViT-B-32_laion5b_s13b_b90k,en,10,0.7,0.64,0.64,0.07749999999999999,0.16,0.72
