source,country,category,commons_category,max_files,notes
Wikimedia Commons,Bahrain,bahrain_museum_objects,Bahrain National Museum,40,Bahrain National Museum objects and museum images
Wikimedia Commons,Qatar,manuscript_calligraphy,"Manuscripts and illustrations in the Museum of Islamic Art, Doha",40,Manuscripts and illustrated works from Museum of Islamic Art Doha
Wikimedia Commons,Qatar,pottery_ceramics,"Ceramics in the Museum of Islamic Art, Doha",40,Ceramic objects from Museum of Islamic Art Doha
Wikimedia Commons,Iraq,pottery_ceramics,"Pottery in the National Museum of Iraq",40,Pottery artifacts from National Museum of Iraq
Wikimedia Commons,Iraq,sculptures_statues,"Statues in National Museum of Iraq",40,Statues from National Museum of Iraq
Wikimedia Commons,Oman,architecture_sites,"Exterior of the National Museum of Oman",30,Exterior architecture images of National Museum of Oman
Wikimedia Commons,Oman,museum_interior,"Interior of the National Museum (Oman)",30,Interior images of National Museum of Oman
